x,p,type,case
0.0123026,6.09E+06,Tdata,7b
0.0273769,5.62E+06,Tdata,7b
0.0322828,4.26E+06,Tdata,7b
0.0383247,3.77E+06,Tdata,7b
0.0443666,3.32E+06,Tdata,7b
0.0503486,2.95E+06,Tdata,7b
0.0563902,2.84E+06,Tdata,7b
0.0623124,2.60E+06,Tdata,7b
0.0684139,2.38E+06,Tdata,7b
0.0743962,2.06E+06,Tdata,7b
0.0803178,1.69E+06,Tdata,7b
0.037308,3.55E+06,pdata,7b
0.0472378,3.32E+06,pdata,7b
0.0572877,2.54E+06,pdata,7b
0.0673972,2.03E+06,pdata,7b
0.0274389,2.54E+06,IHEdata,7b
0.0288148,2.48E+06,IHEdata,7b
0.0304897,2.42E+06,IHEdata,7b
0.0329422,2.35E+06,IHEdata,7b
0.034677,2.30E+06,IHEdata,7b
0.0364716,2.23E+06,IHEdata,7b
0.0385053,2.19E+06,IHEdata,7b
0.0400606,2.13E+06,IHEdata,7b
0.0418552,2.09E+06,IHEdata,7b
0.0441283,2.04E+06,IHEdata,7b
0.0464014,1.97E+06,IHEdata,7b
0.0487941,1.93E+06,IHEdata,7b
0.051127,1.87E+06,IHEdata,7b
0.0534599,1.82E+06,IHEdata,7b
0.056391,1.77E+06,IHEdata,7b
0.0592025,1.73E+06,IHEdata,7b
0.0623131,1.65E+06,IHEdata,7b
0.0654235,1.61E+06,IHEdata,7b
0.0684742,1.56E+06,IHEdata,7b
0.0711661,1.53E+06,IHEdata,7b
0.0743368,1.48E+06,IHEdata,7b
0.0775064,1.44E+06,IHEdata,7b
0.0801984,1.40E+06,IHEdata,7b
0.0824118,1.38E+06,IHEdata,7b
0.0841466,1.37E+06,IHEdata,7b
0.0123931,9.09E+06,Tdata,4b
0.0273294,7.27E+06,Tdata,4b
0.0324372,6.74E+06,Tdata,4b
0.0384111,5.90E+06,Tdata,4b
0.0443867,5.36E+06,Tdata,4b
0.0503625,4.85E+06,Tdata,4b
0.0563385,4.39E+06,Tdata,4b
0.0624121,4.13E+06,Tdata,4b
0.0682923,3.78E+06,Tdata,4b
0.0744612,3.32E+06,Tdata,4b
0.0804365,2.74E+06,Tdata,4b
0.0373535,6.46E+06,pdata,4b
0.0473764,5.43E+06,pdata,4b
0.0573999,4.51E+06,pdata,4b
0.0674232,3.57E+06,pdata,4b
0.0275164,6.20E+06,IHEdata,4b
0.0279008,5.97E+06,IHEdata,4b
0.0285742,5.67E+06,IHEdata,4b
0.0295368,5.38E+06,IHEdata,4b
0.030596,5.10E+06,IHEdata,4b
0.0321372,4.80E+06,IHEdata,4b
0.033775,4.53E+06,IHEdata,4b
0.0355094,4.29E+06,IHEdata,4b
0.0373403,4.06E+06,IHEdata,4b
0.0391712,3.85E+06,IHEdata,4b
0.0409061,3.69E+06,IHEdata,4b
0.0428336,3.50E+06,IHEdata,4b
0.0448577,3.34E+06,IHEdata,4b
0.0473639,3.17E+06,IHEdata,4b
0.0499665,2.99E+06,IHEdata,4b
0.0527621,2.83E+06,IHEdata,4b
0.0554614,2.71E+06,IHEdata,4b
0.0580642,2.57E+06,IHEdata,4b
0.0610527,2.43E+06,IHEdata,4b
0.064427,2.31E+06,IHEdata,4b
0.0678014,2.20E+06,IHEdata,4b
0.0712722,2.08E+06,IHEdata,4b
0.0747429,1.96E+06,IHEdata,4b
0.0779246,1.87E+06,IHEdata,4b
0.08101,1.82E+06,IHEdata,4b
0.0839025,1.74E+06,IHEdata,4b
